product_name,prep,yake,tfidf,pmi,mle,dice,count,merged,vlt5,Google,BigScience,Facebook,Bode,keybert
"Smartphone Motorola Moto G 5S Dual Chip Android 7.1.1 Nougat Tela 5.2"" Snapdragon 430 32GB 4G Câmera 16MP - Dourado",smartphone motorola moto g 5s dual chip android 7 1 1 nougat tela 5 2 snapdragon 430 32gb 4g camera 16mp dourado,"['smartphone', 'motorola', 'moto', 'dual', 'chip', 'android', 'nougat', 'tela', 'snapdragon', 'camera', 'dourado']","['smartphone', 'motorola', 'moto', '5s', 'dual', 'chip', 'android', 'camera']",[],"['smartphone', 'motorola', 'moto', 'g', '5s', 'dual', 'chip', 'android', '7', '1', 'nougat', 'tela', '5', '2', 'snapdragon', '32gb', '4g', 'camera', '16mp', 'dourado']",[],"['smartphone', 'motorola', 'moto', 'g', '5s', 'dual', 'chip', 'android', '7', '1', 'nougat', 'tela', '5', '2', 'snapdragon', '32gb', '4g', 'camera', '16mp', 'dourado']","['moto', 'chip', 'dual', 'android', '32gb', '4g', '16mp', 'smartphone', 'camera', '1', 'motorola', '2', 'tela', 'dourado', 'nougat', '5s', 'snapdragon', '5', '7', 'g']","Motorola, Smartphone, smartphone","chip, moto, nougat, tela"," [smartphone, android, motorola, moto, g, 5, dual, chip, tela, 5.2, snapdragon, 430, 32gb, 4g, camera, 16mp, dourado]", I'm not sure what you are trying to say.  What is on the list?," 

- Smartphone
- Motorola
- Moto G
- 5S
- Dual Chip
- Android
- 7.1.1
- Nougat
- Tela
- 5.2
- Snapdragon
- 430
- 32GB
- 4G
- Câmera
- 16MP
- Dourado
","['smartphone', 'motorola', 'moto', '5s', 'chip', 'android', 'nougat', 'tela', 'snapdragon', '430', '32gb', '4g', '16mp', 'dourado']"
Tênis Casual Conforto Beira Rio,tenis casual conforto beira rio,[],[],[],[],[],[],[],"Conforto Beira Rio, Tênis Casual Conforto Beira Rio,","beira, rio, tênis"," [Casual, Conforto, Beira]", Tìnis Confreira is an Italian soap opera," 

1. Tênis
2. Casual
3. Conforto
4. Beira
5. Rio
",[]
Mochila Sport Escolar Camping Trilha Viagem Passeio,mochila sport escolar camping trilha viagem passeio,['sport'],['sport'],[],['sport'],[],['sport'],['sport'],"Mochila Sport Escolar Camping Trilha Viagem Passeio,","passeio, trilha, vilagem"," Mochila, Sport, Escolar, Camping, Trilha, Viagem, Passeio", The list of most important words is the list of all the most important things in the world.," 

1. Mochila Sport Escolar
2. Camping
3. Trilha
4. Viagem
5. Passeio
","['mochila', 'viagem', 'passeio']"
Toldo Versátil Artplas 120x60cm Branco E Cristal,toldo versatil artplas 120x60cm branco cristal,['branco'],['branco'],[],['branco'],[],['branco'],['branco'],"Toldo Versátil Artplas, Toldo Versátil Artplas","branco, cristal, tello", Toldo Versátil Artplas 120x60cm Branco E Cristal," Tolkien was a great writer, he was an English author, poet, and philosopher."," 

1. Versátil
2. Artplas
3. 120x60cm
4. Branco
5. Cristal
","['toldo', '120x60cm']"
"Smart TV LED 65"" Samsung 65MU6100 UHD 4K HDR Premium com Conversor Digital 3 HDMI 2 USB 120Hz",smart tv led 65 samsung 65mu6100 uhd 4k hdr premium conversor digital 3 hdmi 2 usb 120hz,"['smart', 'led', 'samsung', 'uhd', 'hdr', 'premium', 'conversor', 'digital', 'hdmi', 'usb']","['smart', 'tv', 'led', '65', 'samsung', '4k', 'premium', 'usb']",[],"['smart', 'tv', 'led', 'samsung', '4k', 'premium', 'conversor', 'digital', '3', 'hdmi', '2', 'usb', '120hz']",[],"['smart', 'tv', 'led', 'samsung', '4k', 'premium', 'conversor', 'digital', '3', 'hdmi', '2', 'usb', '120hz']","['conversor', 'uhd', '120hz', '65', '4k', 'samsung', 'usb', 'tv', 'premium', '2', 'led', 'hdr', 'hdmi', 'smart', 'digital', '3']","Smart TV LED 65""","hdmi, tv, usb"," { Smart, LED, 65"", Samsung, 65MU6100, UHD, 4K, HDR, Premium, conversor, digital, HDMI, USB, 120Hz }"," I'm not sure what you are trying to say, but I do know that the smartphone is the most popular smartphone in the world."," 

Palavras mais relevantes: Smart TV, LED, 65"", Samsung, 65MU6100, UHD, 4K, HDR, Premium, com, Conversor, Digital, 3, HDMI, 2, USB, 120Hz.
","['tv', 'led', 'samsung', '65mu6100', '4k', 'hdr', 'premium', 'com', 'digital', 'hdmi', 'usb', '120hz']"
"Barra De Cereal Nestlé Banana, Aveia E Mel 60g 3 Unidades",barra cereal nestle banana aveia mel 60g 3 unidades,[],[],[],['3'],[],['3'],['3'],"Aveia E Mel 60g 3 Unidades, Aveia E Mel 60g 3 Uni","banana, cereal, mel, nestle"," banana, cereal, cereal, mel, aveia, barra, barra, cereal, mel, banana, mel, aveia, banana, barra, aveia."," Based on the list of most important words, the answer is ""Barra"" "," 

[Banana, Aveia, Cereal, Nestlé, Mel, 60g, 3, Unidades]

Explanation: A frase fornece uma lista de palavras, e a resposta retorna uma lista de palavras mais relevantes, incluindo banana, Aveia, Cereal, Nestlé, Mel, 60g, 3, Unidades.

Question 2:
","['aveia', '60g', 'unidades']"
Capa Protetora Toyota Corola Com Cadeado,capa protetora toyota corola cadeado,"['capa', 'protetora']","['capa', 'protetora']",[],['capa'],[],['capa'],"['capa', 'protetora']","Capa Protetora Toyota Corola Com Cadeado, Capa Protetora Toyota","capa, corolla, cadeado, protectora"," ['capa', 'corola', 'tapicero']"," I'm not sure what you are trying to say, but I do know that the Cadillac Corolla is one of the best selling cars in the US."," 

1. Capa
2. Protetora
3. Toyota Corolla
4. Cadeado
","['protetora', 'com', 'cadeado']"
"Smartphone LG K10 Dual Chip Android 6.0 Marshmallow Tela 5.3"" 16GB 4G Câmera 13MP TV Digital - Dourado",smartphone lg k10 dual chip android 6 0 marshmallow tela 5 3 16gb 4g camera 13mp tv digital dourado,"['smartphone', 'dual', 'chip', 'android', 'tela', 'camera', 'digital', 'dourado']","['smartphone', 'lg', 'dual', 'chip', 'android', 'camera', 'tv']",[],"['smartphone', 'dual', 'chip', 'android', '6', '0', 'tela', '5', '3', '16gb', '4g', 'camera', '13mp', 'tv', 'digital', 'dourado']",[],"['smartphone', 'dual', 'chip', 'android', '6', '0', 'tela', '5', '3', '16gb', '4g', 'camera', '13mp', 'tv', 'digital', 'dourado']","['6', '0', 'smartphone', 'camera', 'chip', 'tv', '13mp', '5', 'digital', 'dual', 'lg', '16gb', 'android', '4g', 'tela', 'dourado', '3']","LG K10, Android 6.0 Marshmallow Tela, Smartphon","chip, lg, tela"," ['Smartphone','LG','K10','Dual','Chip','Android','6.0','Marshmallow','Tela','5.3','16GB','4G','Câmera','13MP','TV','Digital','Dourado']", Do you know that the smartphone is the most popular smartphone in the United States and the world?," 

- LG
- K10
- Dual Chip
- Android
- 6.0
- Marshmallow
- Tela
- 5.3""
- 16GB
- 4G
- Câmera
- 13MP
- Digital
- Dourado
","['smartphone', 'lg', 'k10', 'chip', 'android', 'marshmallow', 'tela', '16gb', '4g', '13mp', 'tv', 'digital', 'dourado']"
"Smart TV Android LED 49"" TCL C2 49C2US Ultra HD 4K com Conversor Digital Soundbar Integrado 3 HDMI e 2 USB 120Hz - Preta",smart tv android led 49 tcl c2 49c2us ultra hd 4k conversor digital soundbar integrado 3 hdmi 2 usb 120hz preta,"['smart', 'android', 'led', 'tcl', 'ultra', 'conversor', 'digital', 'integrado', 'hdmi', 'usb', 'preta']","['smart', 'tv', 'android', 'led', '49', 'ultra', 'hd', '4k', 'usb', 'preta']",[],"['smart', 'tv', 'android', 'led', 'ultra', 'hd', '4k', 'conversor', 'digital', 'integrado', '3', 'hdmi', '2', 'usb', '120hz', 'preta']",[],"['smart', 'tv', 'android', 'led', 'ultra', 'hd', '4k', 'conversor', 'digital', 'integrado', '3', 'hdmi', '2', 'usb', '120hz', 'preta']","['ultra', 'conversor', '120hz', '4k', '49', 'usb', 'tv', 'preta', '2', 'integrado', 'tcl', 'led', 'android', 'hdmi', 'hd', 'smart', 'digital', '3']","Android, TV, TV LED, TV LED, TV Android LED,","hd, hdmi, tcl, tv",, Do you have any questions for me? I'm trying to learn more about smartphones and tablets.," 

- Smart TV
- Android
- LED
- 49""
- TCL
- C2
- 49C2US
- Ultra HD
- 4K
- Conversor Digital
- Soundbar
- Integrado
- 3
- HDMI
- 2
- USB
- 120Hz
- Preta
","['tv', 'android', 'led', 'c2', '49c2us', 'ultra', 'hd', '4k', 'com', 'digital', 'soundbar', 'hdmi', 'usb', '120hz']"
Cafeteira Elétrica Cadence Single CAF111 com 2 Xícaras - Vermelho,cafeteira eletrica cadence single caf111 2 xicaras vermelho,"['cafeteira', 'eletrica', 'cadence', 'xicaras', 'vermelho']","['cafeteira', 'eletrica', 'cadence', 'xicaras', 'vermelho']",[],"['cafeteira', 'eletrica', 'cadence', '2', 'xicaras', 'vermelho']",[],"['cafeteira', 'eletrica', 'cadence', '2', 'xicaras', 'vermelho']","['cadence', 'xicaras', 'eletrica', '2', 'vermelho', 'cafeteira']","CAF111, CAF111 com 2 Xícaras, Vermelho,","caf111, xcara, vermelho"," [""cadence"", ""vermelho"", ""vermelho"", ""vermelho"", ""vermelho"", ""vermelho"", ""vermelho"", ""vermelho""].", Vermont is a state in the northeastern region of the United States.," 

- Cafeteira
- Elétrica
- Cadence
- Single
- CAF111
- Xícaras
- Vermelho
","['cafeteira', 'com']"
Mop Giratório Fit + Refil Extra - At Home,mop giratorio fit refil extra at home,"['mop', 'refil', 'home']","['mop', 'refil', 'home']",[],"['mop', 'refil', 'home']",[],"['mop', 'refil', 'home']","['refil', 'home', 'mop']","Giratório Fit, Mop Giratório Fit, Mop Gir","fit, home, mop"," ['Extra', 'Fit', 'Giratório', 'Mop', 'Mop Giratório', 'Mop Giratório Fit', 'Mop Giratório Fit + Refil', 'Mop Giratório Fit + Refil Extra']"," Moped is a type of motorized bicycle, what kind of bike do you have?"," 

- Mop Giratório Fit
- Refil Extra
- At Home
",['extra']
Câmera Estilo Go-Pro Sports Hd 1080p Esportes Radicais,camera estilo go pro sports hd 1080p esportes radicais,"['camera', 'pro', 'sports']","['camera', 'pro', 'hd']",[],"['camera', 'pro', 'hd']",[],"['camera', 'pro', 'hd']","['camera', 'pro', 'hd', 'sports']","Go-Pro Sports Hd 1080p, Go-Pro Sports Hd 1080p","esporte, go-pro, hd, radicais, sport", esportes radicais.," Do you know that the word ""sport"" is derived from the Latin word ""contemporary""?"," 

1. Câmera
2. Estilo
3. Go-Pro
4. Sports
5. Hd
6. 1080p
7. Esportes
8. Radicais
9. Sport
10. Hd
11. 1080p
12. Esportes
13. Radicais
14. Sport
15. Hd
16. 1080p
17. Esportes
18. Radicais
19.","['hd', '1080p']"
"Chaleira Elétrica Cadence CEL800 1,7 Litros Inox Prime",chaleira eletrica cadence cel800 1 7 litros inox prime,"['eletrica', 'cadence', 'litros', 'inox', 'prime']","['eletrica', 'cadence', 'litros']",[],"['eletrica', 'cadence', '1', '7', 'litros', 'inox', 'prime']",[],"['eletrica', 'cadence', '1', '7', 'litros', 'inox', 'prime']","['cadence', 'eletrica', '1', 'prime', 'litros', '7', 'inox']","Chaleira Elétrica Cadence CEL800, Chaleira Elétrica Cad","chaleira, cél800, inox, literos"," ['Chaleira', 'elétrica', 'Cadence', 'CEL800', '1,7', 'litros', 'Inox', 'Prime']", I'm not sure what you are trying to say.  What is the list?," 

1. Chaleira Elétrica
2. Cadence
3. CEL800
4. 1,7 Litros
5. Inox
6. Prime
","['cel800', 'litros']"
Camiseta Speedo Basic Blend UV 50+,camiseta speedo basic blend uv 50,[],['50'],[],[],[],[],['50'],"Camiseta Speedo Basic Blend UV 50+, Camiseta Speedo","camiseta, blend, speedo"," [UV, 50, Speedo, Basic, Blend]", I'm not sure what you are trying to say.  What is the list?," 
Camiseta, Speedo, Basic, Blend, UV, 50+, +.
","['camiseta', 'speedo', 'basic']"
Penteadeira Jb 7200 Com Banqueta Amarelo - Jb Bechara,penteadeira jb 7200 banqueta amarelo jb bechara,[],['jb'],[],['jb'],[],['jb'],['jb'],"Penteadeira, Penteadeira, Penteadeira, Penteadeira","banqueta, jb, ponteadeira"," ['Penteadeira', 'Jb', 'Banqueta', 'Azul', 'Jb Bechara']"," Do you know that the word ""answer"" was first recorded in the 10th century?"," 

- Penteadeira
- Jb
- 7200
- Com
- Banqueta
- Amarelo
- Jb
- Bechara
","['7200', 'com']"
"Smartphone Samsung Galaxy A5 2016 Dual Chip Android 5.1 Tela 5.2"" 16GB 4G Câmera 13MP - Dourado",smartphone samsung galaxy a5 2016 dual chip android 5 1 tela 5 2 16gb 4g camera 13mp dourado,"['smartphone', 'samsung', 'galaxy', 'dual', 'chip', 'android', 'tela', 'camera', 'dourado']","['smartphone', 'samsung', 'galaxy', 'dual', 'chip', 'android', 'camera']",[],"['smartphone', 'samsung', 'galaxy', 'dual', 'chip', 'android', '5', '1', 'tela', '2', '16gb', '4g', 'camera', '13mp', 'dourado']",[],"['smartphone', 'samsung', 'galaxy', 'dual', 'chip', 'android', '5', '1', 'tela', '2', '16gb', '4g', 'camera', '13mp', 'dourado']","['smartphone', 'camera', 'samsung', 'galaxy', 'chip', '13mp', '1', '5', '2', 'dual', '16gb', '4g', 'android', 'tela', 'dourado']","Android, Android 5.1 Tela, Smartphone","chip, galaxy, samsung"," smart phone, Samsung, Galaxy, A5, 2016, Dual, Chip, Android, 5.1, Tela, 5.2, "", 16, GB, 4G, Câmera, 13MP, -, Dourado", I am not sure what you are trying to say.  What is the list?," 

- Smartphone
- Samsung
- Galaxy
- A5
- 2016
- Dual
- Chip
- Android
- 5.1
- Tela
- 5.2
- 16GB
- 4G
- Câmera
- 13MP
- Dourado
","['smartphone', 'samsung', 'galaxy', 'a5', 'chip', 'android', 'tela', '16gb', '4g', '13mp', 'dourado']"
"Smartphone Asus Zenfone 4 Selfie Dual Chip Android 7 Tela 5.5"" Snapdragon 64GB 4G Câmera Traseira 16MP Dual Frontal 20MP + 8MP - Preto",smartphone asus zenfone 4 selfie dual chip android 7 tela 5 5 snapdragon 64gb 4g camera traseira 16mp dual frontal 20mp 8mp preto,"['smartphone', 'asus', 'dual', 'chip', 'android', 'tela', 'snapdragon', 'camera', 'preto']","['smartphone', 'asus', 'zenfone', 'dual', 'chip', 'android', 'camera', 'preto']",[],"['smartphone', 'asus', '4', 'dual', 'chip', 'android', '7', 'tela', '5', 'snapdragon', '4g', 'camera', '16mp', '8mp', 'preto']",[],"['smartphone', 'asus', '4', 'dual', 'chip', 'android', '7', 'tela', '5', 'snapdragon', '4g', 'camera', '16mp', '8mp', 'preto']","['4', 'smartphone', 'preto', 'asus', 'chip', 'camera', 'snapdragon', '5', 'dual', '7', 'android', '4g', '16mp', '8mp', 'zenfone', 'tela']","Asus Zenfone 4 Selfie, Android 7, Smartphone A","chip, frontal, zenfone",," I'm not sure what you mean by ""The list"" but I do know that the smartphone is the most popular smartphone in the world."," 

- Smartphone
- Asus
- Zenfone 4
- Selfie
- Dual
- Chip
- Android
- 7
- Tela
- 5.5""
- Snapdragon
- 64GB
- 4G
- Câmera
- Traseira
- 16MP
- Dual
- Frontal
- 20MP
- 8MP
- Preto
","['smartphone', 'asus', 'zenfone', 'chip', 'android', 'tela', 'snapdragon', '64gb', '4g', '16mp', '20mp', '8mp', 'preto']"
Refil Esfregão Mop Limpeza Prática,refil esfregao mop limpeza pratica,"['refil', 'mop', 'limpeza']","['refil', 'mop', 'limpeza']",[],"['refil', 'mop', 'limpeza']",[],"['refil', 'mop', 'limpeza']","['refil', 'limpeza', 'mop']","Esfregão Mop Limpeza Prática, philosophy, p",esfrego mop refil," {esfregão, mop, limpeza, prática}."," Do you know that the word ""answer"" was first recorded in the 10th century?"," 

1. Refil
2. Esfregão
3. Mop
4. Limpeza
5. Prática
",[]
Kit Câmera instantânea Fujifilm Instax Mini 9 c/ Bolsa e Filme 10 poses - Azul Aqua,kit camera instantanea fujifilm instax mini 9 c bolsa filme 10 poses azul aqua,"['kit', 'camera', 'mini', 'azul']","['kit', 'camera', 'mini', '10', 'azul']",[],"['camera', 'mini', '9', 'c', '10', 'azul']",[],"['camera', 'mini', '9', 'c', '10', 'azul']","['kit', 'camera', '9', 'azul', 'mini', '10', 'c']","Azul Aqua, accumulation, câmera instantânea,","film, instantanea, kit, pose"," ['Instax', '9']"," Aztecs used to call them ""turtle-rabbit"" "," 

- Kit Câmera instantânea Fujifilm Instax Mini 9
- Bolsa e Filme 10
- Azul Aqua
- Poses
- Câmera
- Instantânea
- Fujifilm
- Instax
- Mini 9
- Bolsa
- Filme
- 10
- Poses
- Azul
- Aqua
","['kit', 'fujifilm', 'mini']"
Moto Elétrica Infantil 6V Motocross Vermelha Homeplay,moto eletrica infantil 6v motocross vermelha homeplay,"['moto', 'eletrica', 'infantil', 'vermelha']","['moto', 'eletrica', 'infantil']",[],"['moto', 'eletrica', 'infantil', 'vermelha']",[],"['moto', 'eletrica', 'infantil', 'vermelha']","['moto', 'eletrica', 'infantil', 'vermelha']","Motor Elétrica Infantil 6V, Motor Elétrica Infantil","eletrica, motocross, vermelha"," ['Motocross', 'Moto', 'elétrica', '6V', 'vermelha']"," Do you know that the word ""home"" was first recorded in the 10th century in a Latin manuscript from the Southern Italy town of Gaeta in Lazio?"," 

1. Moto Elétrica Infantil 6V
2. Motocross Vermelha
3. Homeplay
","['moto', '6v', 'motocross', 'homeplay']"
